transaction_id,user_id,transaction_amount,transaction_timestamp,user_location,merchant_location,merchant_category,device_id,device_type,payment_method,account_balance,transaction_status,ip_address,amt
TXN-3E3A44E74819,USR0020,7457.251963207814,2024-03-14T11:40:15.672605,JAI,ahmedabad,Travel,DEV-C894B8F5,mobile,Card,140227.79,success,192.96.196.31,
TXN-84B8FC890498,USR0043,308.51678134343047,1717321977,Delhi,DEL,Travel,DEV-EC8BBC24,mobile,UPI,122548.77,success,192.138.55.249,
TXN-95B71538FFAD,USR0044,₹3159,1710796175,jaipur,Jaipur,N/A,D??,web,Card,168910.49,success,192.73.41.151,
TXN-657F2702B5B2,USR0060,5349.73,07/02/2024 03:50:23,BENGALURU,BENGALURU,Education,DEV-888653EA,web,UPI,9046.0,success,192.231.148.119,
TXN-84C8BBF69256,USR0020,2454.5652128035144,"March 13, 2024 11:25 PM",jaipur,Jaipur,Utilities,DEV-C894B8F5,mobile,Card,153095.35,success,192.96.196.139,
TXN-E8035764417B,USR0066,₹2943,26/01/2024 03:50:44,hyderabad,Hyderabad,Fuel,DEV-8384D381,ATM,UPI,99903.09,success,192.22.73.185,
TXN-DE0D22EC774D,USR0014,936.6696299210503,1714579777,bangalore,Bengaluru,Electronics,DEV-46AD051A,ATM,NetBanking,29671.44,success,192.150.110.100,
TXN-AABD22929FC0,USR0062,5927.61,2024-03-08T20:27:45.295977,Pune,Pune,Travel,DEV-5877E23E,ATM,NetBanking,53696.89,success,192.80.171.219,
TXN-F5BEED556223,USR0052,2504 INR,04/03/2024 14:41:04,Chennai,Madras,Clothing,DEV-3F4D7EA5,ATM,UPI,NA,success,192.175.64.181,
TXN-D798247AA42C,USR0058,2988.415065683582,"June 09, 2024 01:02 PM",Calcutta,Kolkata,Electronics,nan,mobile,UPI,135894.35,success,192.225.249.114,
TXN-2013E56E2B7B,USR0075,3115.739087705225,20240421030940,Chenna#,chennai,Grocery,DEV-ED93D48C,mobile,Card,139166.51,success,192.60.99.154,
TXN-168E30C82A03,USR0079,4287.987118583151,"March 27, 2024 05:00 AM",Jaipur,Madras,Fuel,DEV-87BECBE5,web,Card,160559.93,success,192.112.125.226,
TXN-57EA11BC0E0A,USR0061,1249.0,08/04/2024 09:12:58,Hyderabad,HYD,Food & Dining,DEV-B60819A7,web,Card,122474.01,success,192.111.18.148,
TXN-2D9B4EAD3647,USR0001,,1714769350,Delhi,DEL,Travel,DEV-CEAEBD15,ATM,,50000.48,success,192.27.174.205,511.7863905782768
